target_name,target_classification,s_ra,s_dec,calib_level,t_min,t_exptime,classification_id
NGC6864,un1,301.52,-21.92138889,3,53814.79255,2000,0
NGC6864-M75,un10,301.52,-21.92222222,3,54921.69181,305,1
NGC6864-M75,un11,301.52,-21.92222222,3,54921.69181,11005,2
NGC6864,un12,301.52,-21.92138889,3,52041.14114,360,3
NGC6864,un13,301.52,-21.92138889,3,52041.13767,47,4
NGC6864,un14,301.52,-21.92138889,3,52041.13767,407,5
BIAS,un15,301.5287459,-21.91908797,3,52041.1611,0,6
BIAS,un16,301.5287459,-21.91908797,3,52041.17237,0,7
BIAS,un17,301.5287459,-21.91908797,3,52041.1739,0,8
BIAS,un18,301.5287459,-21.91908797,3,52041.17471,0,9
BIAS,un19,301.5287459,-21.91908797,3,52041.17542,0,10
NGC6864,un2,301.52,-21.92138889,3,53814.81963,100,11
NGC6864,un3,301.52,-21.92138889,3,53814.79255,2100,12
NGC6864,un4,301.52,-21.92138889,3,53814.87935,900,13
NGC6864,un5,301.52,-21.92138889,3,53814.85921,1400,14
NGC6864,un6,301.52,-21.92138889,3,53814.85921,2300,15
NGC6864-M75,un7,301.52,-21.92222222,3,54921.77028,3700,16
NGC6864-M75,un8,301.52,-21.92222222,3,54921.88834,4800,17
NGC6864-M75,un9,301.52,-21.92222222,3,54921.70153,2200,18
